Tensao,Derivada,2aDerivada,Bateria
3.744 ,0.015625,-0.000625,1
3.742 ,0.015875,0.00025,1
3.741 ,0.0155,-0.00075,1
3.739 ,0.015625,-0.00025,1
3.738 ,0.0155,-0.000375,1
3.736 ,0.015375,-0.0005,1
3.735 ,0.01575,0.00025,1
3.733 ,0.01575,0.000125,1
3.731 ,0.015625,0,1
3.730 ,0.0155,-0.000375,1
3.728 ,0.0155,-0.000125,1
3.727 ,0.0155,-0.000375,1
3.725 ,0.0155,0,1
3.724 ,0.015625,0,1
3.722 ,0.015625,0.000125,1
3.721 ,0.015375,0,1
3.719 ,0.015375,-0.000375,1
3.718 ,0.015,-0.00075,1
3.716 ,0.015375,-0.00025,1
3.715 ,0.015375,-0.000125,1
3.713 ,0.01525,-0.00025,1
3.712 ,0.015125,-0.000375,1
3.710 ,0.015,-0.0005,1
3.709 ,0.01475,-0.000875,1
3.707 ,0.01525,-0.000375,1
3.706 ,0.015,-0.000375,1
3.704 ,0.015,-0.000375,1
3.703 ,0.01525,0.00025,1
3.701 ,0.01475,-0.000625,1
3.700 ,0.015,-0.000375,1
3.698 ,0.014875,-0.000375,1
3.697 ,0.014875,-0.00025,1
3.695 ,0.014875,-0.000125,1
3.694 ,0.015,0.00025,1
3.692 ,0.014625,-0.000625,1
3.691 ,0.014875,-0.000125,1
3.690 ,0.014625,-0.000375,1
3.688 ,0.01475,-0.0005,1
3.687 ,0.01475,0,1
